dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_verticalPosition,delta_excess_verticalWidth,delta_excess_horizontalWidth,delta_excess_r,delta_excess_g,delta_excess_b,delta_excess_a,delta_excess_blinkFrequency,delta_excess_volume,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true,delta_excess_Trajectory,delta_excess_TrajectoryAlpha,delta_excess_TrajectorySize,delta_excess_EgoTrajectory,delta_excess_EgoTrajectoryAlpha,delta_excess_EgoTrajectorySize,delta_excess_PedestrianIntention,delta_excess_PedestrianIntentionSize,delta_excess_SemanticSegmentation,delta_excess_SemanticSegmentationAlpha,delta_excess_CarStatus,delta_excess_CarStatusAlpha,delta_excess_CoveredArea,delta_excess_CoveredAreaAlpha,delta_excess_CoveredAreaSize,delta_excess_OccludedCars
ehmi,composite,logei,extra_trees,gaussian,5.0,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6142965939153981,0.012285931878307954,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,bias,0.05,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.599773803511468,-0.11199547607022933,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,bias,0.05,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8300607142858976,-0.07660121428571792,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,bias,0.05,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2288636574073717,-0.024577273148147394,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,bias,0.5,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.159286342592768,-0.10318572685185534,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,bias,0.5,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.711181051587488,-0.05422362103174977,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,bias,0.5,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.039545535714186286,-0.0007909107142837213,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,bias,1.0,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6343518309663878,0.012687036619327796,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,bias,1.0,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.84162503306894,-0.05683250066137879,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,bias,1.0,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8753037698412864,-0.017506075396825693,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,bias,5.0,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.289356092700018,0.08578712185400039,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,bias,5.0,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7104215608465303,0.05420843121693064,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logei,extra_trees,bias,5.0,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055125992064305,0.006110251984128623,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,gaussian,0.05,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8310984788361075,0.016621969576722156,0.1910879629629747,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,gaussian,0.05,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.391849239418402,0.04783698478836804,0.27154279100545686,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,gaussian,0.05,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36827500000006097,0.007365500000001218,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,gaussian,0.5,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060533267195773455,8.287877579365698,0.16575755158731395,2.002876984127142,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,gaussian,0.5,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025695800264566415,5.392725898870225,0.1078545179774045,0.7323303075401428,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,gaussian,0.5,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057369444444393736,-0.0011473888888878792,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,gaussian,1.0,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09339742063492107,15.175212896826316,0.30350425793652636,4.34800787037066,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,gaussian,1.0,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.501364880952881,0.17002729761905763,0.023340839947105785,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,gaussian,1.0,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0878000000000814,0.021756000000001635,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,gaussian,5.0,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.616761780531263,0.3523352356106253,-0.4935208994710383,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,gaussian,5.0,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05546435185204324,0.001109287037040857,0.06840466269846068,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,gaussian,5.0,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1133009920635395,0.0022660198412707833,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,bias,0.05,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003149570105943411,6.299140211887821e-05,0.27107265211641884,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,bias,0.05,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32265747354484553,-0.006453149470896924,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,bias,0.05,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8257485780422442,-0.016514971560844888,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,bias,0.5,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007893055555553197,5.219469748076655,0.10438939496153307,1.0115958333338924,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,bias,0.5,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8514321759263552,0.03702864351852711,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,bias,0.5,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19124305555563126,0.003824861111112632,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,bias,1.0,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006289285714296433,8.627695535714913,0.1725539107142983,0.13299027777802497,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,bias,1.0,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4039654100530825,0.04807930820106163,0.031118022486777974,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,bias,1.0,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21442261904767435,0.004288452380953489,0.0,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,bias,5.0,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.733295899472203,0.5546659179894441,-0.4852847883599276,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,bias,5.0,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.188429629630399,0.263768592592608,0.5653076058204611,,,,,,,,,,,,,,,,
ehmi,composite,logpi,extra_trees,bias,5.0,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71970277777805,0.07439405555556097,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,gaussian,0.05,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.421783697090202,0.02843567394180402,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,gaussian,0.05,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983979497354447,0.01996795899470888,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,gaussian,0.05,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9141691137566426,0.01828338227513282,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,gaussian,0.5,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25803531746022657,-0.005160706349204569,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,gaussian,0.5,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9917990079366668,0.07983598015873333,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,gaussian,0.5,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3681526124338941,-0.007363052248677893,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,gaussian,1.0,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.250672751322792,-0.04501345502645587,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,gaussian,1.0,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.888446494709285,-0.11776892989418572,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,gaussian,1.0,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5038252976190911,0.030076505952381816,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,gaussian,5.0,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.605249725618737,0.09210499451237475,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,gaussian,5.0,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6794448743388415,-0.07358889748677683,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,gaussian,5.0,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056467923280411725,-0.0011293584656082434,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,bias,0.05,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.487617228836113,-0.049752344576722285,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,bias,0.05,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8073741732803974,-0.01614748346560796,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,bias,0.05,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07052324735445126,0.0014104649470890185,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,bias,0.5,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.958365906084568,-0.09916731812169138,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,bias,0.5,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4011949074075574,-0.06802389814815119,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,bias,0.5,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8501228505291891,0.037002457010583745,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,bias,1.0,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.153354227583247,0.10306708455166491,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,bias,1.0,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666331534636338,0.13332663069272677,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,bias,1.0,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.198765559732781,0.043975311194655586,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,bias,5.0,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.782577695976595,0.19565155391953187,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,bias,5.0,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.453922751323038,-0.14907845502646078,0.0,,,,,,,,,,,,,,,,
ehmi,composite,ei,extra_trees,bias,5.0,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1125783068784365,0.0422515661375687,0.0,,,,,,,,,,,,,,,,
ehmi,composite,pi,extra_trees,gaussian,0.05,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9240963293652378,0.03848192658730476,0.6685951719577599,,,,,,,,,,,,,,,,
ehmi,composite,pi,extra_trees,gaussian,0.05,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7875614087304292,0.05575122817460859,0.10810099206344592,,,,,,,,,,,,,,,,
ehmi,composite,pi,extra_trees,gaussian,0.05,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6168327380953382,0.03233665476190678,0.0,,,,,,,,,,,,,,,,
ehmi,composite,pi,extra_trees,gaussian,0.5,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.447009777400613,0.32894019554801224,5.631434160053371,,,,,,,,,,,,,,,,
ehmi,composite,pi,extra_trees,gaussian,0.5,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2608077711642895,0.0452161554232858,-0.006083796296293187,,,,,,,,,,,,,,,,
ehmi,composite,pi,extra_trees,gaussian,0.5,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6390666997354906,0.03278133399470981,0.0,,,,,,,,,,,,,,,,
ehmi,composite,pi,extra_trees,gaussian,1.0,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.292623595918233,0.32585247191836464,3.0820877314821216,,,,,,,,,,,,,,,,
ehmi,composite,pi,extra_trees,gaussian,1.0,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7291441859074865,0.15458288371814977,-0.004274074074074541,,,,,,,,,,,,,,,,
ehmi,composite,pi,extra_trees,gaussian,1.0,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7532181878308748,0.035064363756617506,0.0,,,,,,,,,,,,,,,,
ehmi,composite,pi,extra_trees,gaussian,5.0,10,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.448954322180196,0.2689790864436039,0.01098495370370589,,,,,,,,,,,,,,,,
ehmi,composite,pi,extra_trees,gaussian,5.0,20,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011079166666663198,10.671600562170042,0.21343201124340083,0.28751412037028157,,,,,,,,,,,,,,,,
ehmi,composite,pi,extra_trees,gaussian,5.0,40,10,"verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9173895171958044,0.03834779034391611,0.0,,,,,,,,,,,,,,,,
